datetime,ticker,price
2026-03-14 17:58:23.895213,7011.T,4745.0
2026-03-14 17:58:23.895213,8035.T,38340.0
2026-03-14 19:42:06.868856,4568.T,
2026-03-14 19:42:06.868856,7011.T,4745.0
2026-03-14 19:42:06.868856,8035.T,38340.0
2026-03-14 20:01:37.675324,4568.T,2818.5
2026-03-14 20:01:37.675324,7011.T,4745.0
2026-03-14 20:01:37.675324,8035.T,38340.0
2026-03-14 21:00:04.584664,4568.T,2818.5
2026-03-14 21:00:04.584664,7011.T,4745.0
2026-03-14 21:00:04.584664,8035.T,38340.0
2026-03-14 21:56:29.707295,4568.T,2818.5
2026-03-14 21:56:29.707295,7011.T,4745.0
2026-03-14 21:56:29.707295,8035.T,38340.0
2026-03-14 23:01:09.260478,4568.T,2818.5
2026-03-14 23:01:09.260478,7011.T,
2026-03-14 23:01:09.260478,8035.T,38340.0
2026-03-14 23:58:05.957200,4568.T,2818.5
2026-03-14 23:58:05.957200,7011.T,4745.0
2026-03-14 23:58:05.957200,8035.T,38340.0
2026-03-15 05:47:07.205219,4568.T,2818.5
2026-03-15 05:47:07.205219,7011.T,4745.0
2026-03-15 05:47:07.205219,8035.T,38340.0
2026-03-15 07:58:37.439214,4568.T,2818.5
2026-03-15 07:58:37.439214,7011.T,4745.0
2026-03-15 07:58:37.439214,8035.T,38340.0
2026-03-15 09:53:47.373820,4568.T,2818.5
2026-03-15 09:53:47.373820,7011.T,4745.0
2026-03-15 09:53:47.373820,8035.T,38340.0
2026-03-15 11:03:30.945818,4568.T,2818.5
2026-03-15 11:03:30.945818,7011.T,4745.0
2026-03-15 11:03:30.945818,8035.T,38340.0
2026-03-15 11:54:56.019272,4568.T,2818.5
2026-03-15 11:54:56.019272,7011.T,4745.0
2026-03-15 11:54:56.019272,8035.T,38340.0
2026-03-15 14:03:13.742780,4568.T,2818.5
2026-03-15 14:03:13.742780,7011.T,4745.0
2026-03-15 14:03:13.742780,8035.T,38340.0
2026-03-15 15:03:43.521822,4568.T,2818.5
2026-03-15 15:03:43.521822,7011.T,4745.0
2026-03-15 15:03:43.521822,8035.T,38340.0
2026-03-15 15:59:41.182292,4568.T,2818.5
